val1,suit1,val2,suit2,nwin,nloose,nsplit
2.0,3.0,12.0,3.0,0.4628,0.5072,0.03
2.0,2.0,12.0,0.0,0.4322,0.5264,0.0414
2.0,2.0,12.0,2.0,0.4718,0.4988,0.0294
2.0,2.0,12.0,3.0,0.4316,0.5296,0.0388
2.0,1.0,12.0,2.0,0.4312,0.5392,0.0296
2.0,1.0,12.0,3.0,0.4218,0.543,0.0352
2.0,0.0,13.0,2.0,0.4854,0.4688,0.0458
2.0,0.0,13.0,0.0,0.5156,0.4492,0.0352
2.0,0.0,13.0,3.0,0.5026,0.456,0.0414
2.0,0.0,13.0,1.0,0.4898,0.4656,0.0446
2.0,3.0,13.0,2.0,0.4836,0.4704,0.046
2.0,3.0,13.0,0.0,0.4896,0.4708,0.0396
2.0,3.0,13.0,3.0,0.523,0.4376,0.0394
2.0,3.0,13.0,1.0,0.491,0.464,0.045
2.0,2.0,13.0,1.0,0.4866,0.4618,0.0516
2.0,1.0,13.0,1.0,0.5046,0.4612,0.0342
2.0,0.0,14.0,0.0,0.5406,0.421,0.0384
2.0,0.0,14.0,2.0,0.5322,0.423,0.0448
2.0,0.0,14.0,1.0,0.526,0.4332,0.0408
2.0,3.0,14.0,2.0,0.5334,0.426,0.0406
2.0,3.0,14.0,1.0,0.52,0.4378,0.0422
2.0,2.0,14.0,1.0,0.5366,0.4224,0.041
2.0,1.0,14.0,1.0,0.5434,0.4148,0.0418
3.0,1.0,2.0,0.0,0.2986,0.6368,0.0646
3.0,1.0,2.0,3.0,0.2908,0.6492,0.06
3.0,1.0,2.0,2.0,0.2944,0.6448,0.0608
3.0,1.0,2.0,1.0,0.3224,0.6224,0.0552
3.0,0.0,2.0,1.0,0.2922,0.6456,0.0622
3.0,3.0,2.0,1.0,0.2952,0.6454,0.0594
3.0,1.0,3.0,0.0,0.5226,0.4616,0.0158
3.0,1.0,3.0,3.0,0.5146,0.4714,0.014
3.0,1.0,3.0,2.0,0.5372,0.4486,0.0142
3.0,0.0,3.0,3.0,0.531,0.4504,0.0186
3.0,0.0,3.0,2.0,0.539,0.445,0.016
3.0,3.0,3.0,2.0,0.5328,0.4532,0.014
3.0,1.0,4.0,2.0,0.2916,0.6534,0.055
3.0,1.0,4.0,3.0,0.303,0.641,0.056
3.0,1.0,4.0,1.0,0.3306,0.6148,0.0546
3.0,1.0,4.0,0.0,0.307,0.6322,0.0608
3.0,0.0,4.0,0.0,0.3536,0.5938,0.0526
3.0,3.0,4.0,0.0,0.3064,0.641,0.0526
3.0,1.0,5.0,3.0,0.334,0.6016,0.0644
3.0,1.0,5.0,2.0,0.3378,0.5986,0.0636
3.0,1.0,5.0,1.0,0.3496,0.5908,0.0596
3.0,1.0,5.0,0.0,0.3362,0.5934,0.0704
3.0,1.0,6.0,0.0,0.3314,0.6092,0.0594
3.0,1.0,6.0,3.0,0.341,0.5954,0.0636
3.0,1.0,6.0,1.0,0.3726,0.5702,0.0572
3.0,1.0,6.0,2.0,0.3484,0.5924,0.0592
3.0,0.0,6.0,2.0,0.3358,0.6024,0.0618
3.0,3.0,6.0,2.0,0.3374,0.5984,0.0642
3.0,1.0,7.0,2.0,0.3352,0.6046,0.0602
3.0,1.0,7.0,0.0,0.3452,0.5956,0.0592
3.0,1.0,7.0,3.0,0.3384,0.6016,0.06
3.0,1.0,7.0,1.0,0.384,0.566,0.05
3.0,1.0,8.0,0.0,0.3584,0.585,0.0566
3.0,1.0,8.0,2.0,0.3602,0.5824,0.0574
3.0,1.0,8.0,1.0,0.386,0.5642,0.0498
3.0,1.0,8.0,3.0,0.3568,0.5872,0.056
3.0,1.0,9.0,1.0,0.4068,0.5438,0.0494
3.0,1.0,9.0,0.0,0.3734,0.5782,0.0484
3.0,1.0,9.0,3.0,0.3768,0.5696,0.0536
3.0,1.0,10.0,3.0,0.4268,0.522,0.0512
3.0,1.0,10.0,1.0,0.427,0.5332,0.0398
3.0,1.0,10.0,2.0,0.4232,0.53,0.0468
3.0,1.0,10.0,0.0,0.4144,0.5348,0.0508
3.0,1.0,11.0,2.0,0.444,0.5104,0.0456
3.0,1.0,11.0,1.0,0.463,0.4936,0.0434
3.0,1.0,11.0,0.0,0.4282,0.5282,0.0436
3.0,1.0,11.0,3.0,0.4432,0.5058,0.051
3.0,0.0,11.0,0.0,0.4602,0.5014,0.0384
3.0,0.0,11.0,3.0,0.4358,0.517,0.0472
3.0,3.0,11.0,0.0,0.4348,0.5164,0.0488
3.0,3.0,11.0,3.0,0.4738,0.481,0.0452
3.0,1.0,12.0,1.0,0.4954,0.4614,0.0432
3.0,1.0,12.0,0.0,0.4446,0.5196,0.0358
3.0,1.0,12.0,2.0,0.438,0.529,0.033
3.0,1.0,12.0,3.0,0.4308,0.535,0.0342
3.0,0.0,12.0,2.0,0.4442,0.5232,0.0326
3.0,0.0,12.0,3.0,0.4374,0.53,0.0326
3.0,3.0,12.0,2.0,0.4238,0.5406,0.0356
3.0,3.0,12.0,3.0,0.472,0.4982,0.0298
3.0,1.0,13.0,2.0,0.488,0.464,0.048
3.0,1.0,13.0,0.0,0.4926,0.461,0.0464
3.0,1.0,13.0,3.0,0.488,0.4632,0.0488
3.0,1.0,13.0,1.0,0.5258,0.4346,0.0396
3.0,0.0,13.0,1.0,0.5042,0.4542,0.0416
3.0,3.0,13.0,1.0,0.4908,0.4672,0.042
3.0,1.0,14.0,0.0,0.5512,0.4106,0.0382
3.0,1.0,14.0,2.0,0.5344,0.4258,0.0398
