Hand Type,Q Check/Call,Q Bet/Raise,Fold Prob,Check/Call Prob,Bet/Raise Prob,Expected Frequency,Highest Density Frequency
AA,0.43056395649909973,1.0775775909423828,0.44958606362342834,0.3869110345840454,0.16350294649600983,0.4533630311489105,0.27942195534706116
KK,0.41779521107673645,1.0432316064834595,0.4529596269130707,0.3885610103607178,0.15847939252853394,0.4510858952999115,0.2698333263397217
AQo,0.4046323001384735,1.0167328119277954,0.4520190954208374,0.3850483000278473,0.1629326343536377,0.45016422867774963,0.2648214101791382
AQs,0.4044002294540405,1.015203833580017,0.45236936211586,0.3851204216480255,0.1625102013349533,0.4497884213924408,0.26332584023475647
AKo,0.4021502733230591,1.0159120559692383,0.4500238001346588,0.3868156969547272,0.16316048800945282,0.45219114422798157,0.27394112944602966
AKs,0.40140998363494873,1.0135527849197388,0.450594425201416,0.38678812980651855,0.16261741518974304,0.4520231783390045,0.27329233288764954
KQs,0.3947506546974182,1.0208890438079834,0.4539821743965149,0.38869595527648926,0.15732181072235107,0.45058342814445496,0.2706422507762909
KQo,0.3944777548313141,1.0225462913513184,0.45352235436439514,0.38877061009407043,0.15770703554153442,0.45086440443992615,0.27165475487709045
KJo,0.3936588764190674,0.9943758845329285,0.44776344299316406,0.3932817876338959,0.15895481407642365,0.45144760608673096,0.2706657946109772
KJs,0.3934338092803955,0.9920626282691956,0.4484749436378479,0.392956018447876,0.1585690677165985,0.45128703117370605,0.2703962028026581
QQ,0.38797032833099365,1.0164116621017456,0.4530121386051178,0.3886789381504059,0.15830890834331512,0.44933125376701355,0.26183757185935974
A3o,0.38327252864837646,1.0265414714813232,0.4288744032382965,0.40653467178344727,0.16459091007709503,0.4536956548690796,0.2740776240825653
AJo,0.382961630821228,0.9627941250801086,0.4454936683177948,0.3897229731082916,0.16478338837623596,0.45120370388031006,0.2678113877773285
A3s,0.3826395571231842,1.0256191492080688,0.4301099479198456,0.4055747389793396,0.164315328001976,0.4534197747707367,0.27278932929039
AJs,0.3822402358055115,0.9606016874313354,0.4457970857620239,0.38991349935531616,0.1642894297838211,0.45098522305488586,0.26718565821647644
A9o,0.3787072002887726,0.9819169044494629,0.4379146993160248,0.39960041642189026,0.16248488426208496,0.4495532214641571,0.2621065378189087
A6o,0.3774172365665436,0.9929842948913574,0.4319320619106293,0.3984452188014984,0.16962279379367828,0.4510062038898468,0.27076926827430725
A9s,0.3770732879638672,0.9791519641876221,0.43844327330589294,0.399580180644989,0.16197648644447327,0.44913622736930847,0.26015031337738037
A6s,0.37578272819519043,0.9902772903442383,0.4328698515892029,0.39798951148986816,0.16914059221744537,0.4507173001766205,0.2691918909549713
K9o,0.3756568431854248,0.9976739883422852,0.44073089957237244,0.4016161859035492,0.15765289962291718,0.45079872012138367,0.2704274654388428
73o,0.37543949484825134,1.0301790237426758,0.4335569441318512,0.4024414122104645,0.16400162875652313,0.4523595869541168,0.27095651626586914
73s,0.37487590312957764,1.028808832168579,0.43357914686203003,0.40298449993133545,0.1634363979101181,0.45220935344696045,0.27057746052742004
K9s,0.3748416304588318,0.9944633841514587,0.4415023922920227,0.4010997414588928,0.15739786624908447,0.4505833387374878,0.2696733772754669
77,0.368583083152771,1.0502814054489136,0.44173431396484375,0.39550459384918213,0.16276107728481293,0.4502665102481842,0.25850915908813477
A7o,0.36823275685310364,1.0076349973678589,0.43990302085876465,0.392052561044693,0.16804438829421997,0.449974924325943,0.25759774446487427
ATo,0.3677690029144287,0.9730504155158997,0.43977585434913635,0.39596274495124817,0.16426144540309906,0.45083045959472656,0.2665766477584839
A7s,0.3666718900203705,1.0047361850738525,0.44052067399024963,0.3921932578086853,0.16728609800338745,0.449503093957901,0.2555297315120697
ATs,0.36633139848709106,0.9701357483863831,0.44020235538482666,0.39606529474258423,0.1637323796749115,0.45050469040870667,0.2653408646583557
K7o,0.366301029920578,1.0283623933792114,0.440997451543808,0.39714547991752625,0.16185705363750458,0.4526045024394989,0.27271175384521484
K7s,0.3655232787132263,1.025611400604248,0.4415397644042969,0.3971567451953888,0.16130347549915314,0.4523039758205414,0.2714746296405792
K3o,0.3643454313278198,1.0390300750732422,0.4297207295894623,0.4096839129924774,0.1605953574180603,0.45456933975219727,0.28265833854675293
K3s,0.3641971945762634,1.03756582736969,0.4309369921684265,0.4088445007801056,0.16021843254566193,0.45460525155067444,0.2829863131046295
KTo,0.36401835083961487,0.9996930956840515,0.4411841332912445,0.39983972907066345,0.15897616744041443,0.4525015354156494,0.2764895260334015
K6o,0.36343446373939514,1.0230321884155273,0.4328412115573883,0.4032987654209137,0.1638599932193756,0.45203468203544617,0.27798327803611755
72o,0.3629170358181,1.054274082183838,0.4340555667877197,0.4020245373249054,0.1639198660850525,0.45230600237846375,0.2658097743988037
K6s,0.3628489375114441,1.0202282667160034,0.43354475498199463,0.40284404158592224,0.16361115872859955,0.4517568349838257,0.2767060697078705
KTs,0.3624848425388336,0.9963791966438293,0.4417129456996918,0.39948976039886475,0.1587972640991211,0.45220351219177246,0.2758147120475769
72s,0.36134669184684753,1.0519394874572754,0.4348846673965454,0.4015074074268341,0.1636079102754593,0.4519073963165283,0.26406630873680115
Q3o,0.3601799011230469,1.0219300985336304,0.4295850694179535,0.4081415832042694,0.1622733175754547,0.45063045620918274,0.2605857849121094
A2o,0.36016321182250977,1.0284221172332764,0.4329744279384613,0.40000399947166443,0.16702158749103546,0.4530881345272064,0.26777684688568115
Q3s,0.3593708872795105,1.020581841468811,0.43069127202033997,0.4074142575263977,0.16189445555210114,0.4503401815891266,0.2594846487045288
99,0.358261376619339,0.97635817527771,0.4301077425479889,0.40996894240379333,0.15992334485054016,0.4535561501979828,0.2810096740722656
JJ,0.3580540120601654,0.9605975151062012,0.44686710834503174,0.38810110092163086,0.16503171622753143,0.4517860412597656,0.2754274308681488
QJo,0.3572135269641876,0.9620037078857422,0.4454706609249115,0.3941178321838379,0.160411536693573,0.45000195503234863,0.26040947437286377
QJs,0.3569663166999817,0.9599090218544006,0.44581660628318787,0.394248902797699,0.15993452072143555,0.44976282119750977,0.25983932614326477
A2s,0.35618284344673157,1.0253915786743164,0.433541864156723,0.39987432956695557,0.1665838211774826,0.45285359025001526,0.26660680770874023
97o,0.35524144768714905,1.012579083442688,0.4335341453552246,0.4052591323852539,0.16120673716068268,0.45155468583106995,0.2648908197879791
97s,0.3548426330089569,1.0105258226394653,0.43481943011283875,0.40431350469589233,0.16086706519126892,0.4512525796890259,0.263548880815506
93o,0.35279884934425354,0.9954843521118164,0.42458319664001465,0.4136277735233307,0.16178902983665466,0.4533134698867798,0.27371227741241455
93s,0.352070152759552,0.9938220977783203,0.4250513017177582,0.4136568307876587,0.16129189729690552,0.4531606435775757,0.27305272221565247
K8o,0.3516923189163208,0.9890954494476318,0.438242107629776,0.40297731757164,0.1587805598974228,0.451925665140152,0.2719351053237915
76o,0.3513002395629883,1.0106472969055176,0.43183207511901855,0.40351876616477966,0.16464918851852417,0.45228567719459534,0.2788553535938263
K8s,0.3509359061717987,0.9863988161087036,0.4393589198589325,0.4023227095603943,0.15831837058067322,0.45179906487464905,0.2712153494358063
76s,0.3508217930793762,1.007894515991211,0.43184399604797363,0.4040643572807312,0.1640915870666504,0.4520508944988251,0.2779864966869354
Q9o,0.349813312292099,0.9721188545227051,0.43653547763824463,0.40626391768455505,0.1572006195783615,0.44806769490242004,0.25273075699806213
Q9s,0.3484609127044678,0.9691699147224426,0.43719273805618286,0.4060814082622528,0.15672585368156433,0.44783034920692444,0.25171640515327454
J9o,0.3481574058532715,0.9450065493583679,0.4373527467250824,0.4011613428592682,0.1614859253168106,0.45051780343055725,0.26950299739837646
Q7o,0.34781691431999207,1.015209674835205,0.4388536512851715,0.3980461359024048,0.16310018301010132,0.44895949959754944,0.25127366185188293
J9s,0.3470475971698761,0.9417744278907776,0.4383023679256439,0.4004978537559509,0.16119980812072754,0.4502842426300049,0.26845332980155945
Q7s,0.3470160961151123,1.012627124786377,0.4396965503692627,0.39773324131965637,0.16257017850875854,0.44857659935951233,0.24976348876953125
92o,0.3453870117664337,1.015842318534851,0.4279871881008148,0.4107900559902191,0.16122275590896606,0.45351195335388184,0.26895472407341003
