Hand Type,Q Check/Call,Q Bet/Raise,Fold Prob,Check/Call Prob,Bet/Raise Prob,Expected Frequency,Highest Density Frequency
Q9o,-0.47805890440940857,0.04982839524745941,0.5136396884918213,0.30617383122444153,0.1801864355802536,0.4446810185909271,0.20355848968029022
Q9s,-0.47836899757385254,0.04825384169816971,0.5127832889556885,0.3068172037601471,0.18039946258068085,0.44476959109306335,0.2045900821685791
AJo,-0.4822884798049927,0.034930646419525146,0.5140212178230286,0.30824610590934753,0.1777326464653015,0.44373878836631775,0.20582342147827148
AJs,-0.48275285959243774,0.03326887637376785,0.5136929750442505,0.30841264128685,0.17789438366889954,0.4435827434062958,0.20494438707828522
QJo,-0.48298028111457825,0.03367909416556358,0.516322135925293,0.30596837401390076,0.17770950496196747,0.44363656640052795,0.20357517898082733
QJs,-0.4833601713180542,0.03198803961277008,0.5157240629196167,0.30617478489875793,0.1781010925769806,0.44338783621788025,0.2022584229707718
J9o,-0.483656644821167,0.041598815470933914,0.5154276490211487,0.30798378586769104,0.1765885353088379,0.44057774543762207,0.1809769719839096
KJo,-0.4840112626552582,0.03603769466280937,0.5131934881210327,0.30791983008384705,0.17888663709163666,0.44285300374031067,0.1982063502073288
J9s,-0.4841383695602417,0.039947886019945145,0.5144495368003845,0.3086588382720947,0.17689158022403717,0.4404166638851166,0.180327370762825
KJs,-0.4843859374523163,0.03467832878232002,0.5130047798156738,0.30795300006866455,0.1790422797203064,0.44272395968437195,0.19756019115447998
A9o,-0.48655903339385986,0.052266675978899,0.510725200176239,0.3103063404560089,0.17896850407123566,0.44575735926628113,0.21479447185993195
99,-0.48662492632865906,0.05658376216888428,0.5160449743270874,0.3068309724330902,0.1771240383386612,0.4434322118759155,0.2001965194940567
A9s,-0.4868262708187103,0.05086199566721916,0.5099600553512573,0.31094932556152344,0.17909057438373566,0.44585928320884705,0.21578025817871094
KK,-0.4883354902267456,0.03175317868590355,0.5042712092399597,0.3177194595336914,0.17800937592983246,0.44234228134155273,0.19085019826889038
K9o,-0.4899486005306244,0.051711756736040115,0.5133675336837769,0.3078998029232025,0.17873267829418182,0.4443763196468353,0.2046852707862854
