Hand Type,Q Check/Call,Q Bet/Raise,Fold Prob,Check/Call Prob,Bet/Raise Prob,Expected Frequency,Highest Density Frequency
QQ,0.021378090605139732,0.5330870151519775,0.3913562595844269,0.46816888451576233,0.1404748409986496,0.4700492322444916,0.2864069938659668
AQo,0.02077346295118332,0.5442520976066589,0.38369593024253845,0.4794975817203522,0.13680651783943176,0.4743262231349945,0.3164975345134735
AQs,0.01809559017419815,0.5447468757629395,0.38355183601379395,0.47934186458587646,0.1371062695980072,0.4742169678211212,0.31699034571647644
99,0.011237271130084991,0.5002877116203308,0.3899405300617218,0.4733874797821045,0.13667196035385132,0.4703179895877838,0.23102585971355438
98o,0.009210103191435337,0.5130723118782043,0.3947170674800873,0.46698692440986633,0.1382960081100464,0.470745712518692,0.22717858850955963
KQo,0.008887664414942265,0.5450111627578735,0.38952529430389404,0.4712963104248047,0.1391783505678177,0.4715694189071655,0.29277321696281433
95o,0.007889103144407272,0.5127478241920471,0.4079253673553467,0.4569655954837799,0.1351090520620346,0.46751144528388977,0.23435193300247192
AA,0.00785344373434782,0.5608630776405334,0.38301482796669006,0.4833615720272064,0.1336236149072647,0.4737526476383209,0.2998459041118622
T5o,0.007470994722098112,0.5473302006721497,0.4059922695159912,0.4582926332950592,0.13571514189243317,0.4650893211364746,0.23315107822418213
98s,0.006503109820187092,0.512709379196167,0.3945111036300659,0.4674282371997833,0.13806070387363434,0.47050920128822327,0.22656381130218506
KQs,0.006209926679730415,0.5450153350830078,0.38971659541130066,0.47072964906692505,0.1395537555217743,0.471321702003479,0.29167529940605164
44,0.00593048520386219,0.5511641502380371,0.41062721610069275,0.45541515946388245,0.13395757973194122,0.46734389662742615,0.23339028656482697
97o,0.005545610561966896,0.5134353637695312,0.39929258823394775,0.4635604918003082,0.1371469497680664,0.4658324718475342,0.21972423791885376
95s,0.005492834374308586,0.5122427940368652,0.40772485733032227,0.4571263790130615,0.13514874875545502,0.4672876298427582,0.2339876890182495
T5s,0.004996776580810547,0.545996904373169,0.40604764223098755,0.458234965801239,0.13571739196777344,0.4648156464099884,0.23255319893360138
T9o,0.004849549382925034,0.5439732670783997,0.392604261636734,0.4701153337955475,0.1372803896665573,0.4702170789241791,0.2354840785264969
97s,0.0029170229099690914,0.5128699541091919,0.3989951014518738,0.4633455276489258,0.13765940070152283,0.46566542983055115,0.21932823956012726
32o,0.002656888449564576,0.5373611450195312,0.4050234854221344,0.46179381012916565,0.13318273425102234,0.4674642086029053,0.23619000613689423
T9s,0.0016562193632125854,0.5435112714767456,0.393044650554657,0.46995723247528076,0.13699810206890106,0.4698527157306671,0.2350037544965744
T7o,0.0012649238342419267,0.5534983277320862,0.40052875876426697,0.46209511160850525,0.13737614452838898,0.4641953408718109,0.2228245735168457
88,0.000953617796767503,0.5448081493377686,0.38936373591423035,0.47030243277549744,0.1403338760137558,0.47046470642089844,0.22223782539367676
32s,0.000896126963198185,0.5357657670974731,0.4052717685699463,0.4613988995552063,0.1333293467760086,0.46723422408103943,0.23570649325847626
77,0.00037374781095422804,0.5336587429046631,0.40410223603248596,0.456319659948349,0.13957813382148743,0.4643673002719879,0.2245502471923828
55,0.00013137981295585632,0.5273803472518921,0.4073096513748169,0.4540184438228607,0.13867193460464478,0.4682137966156006,0.23740637302398682
T7s,-0.00041567860171198845,0.5517666935920715,0.40019798278808594,0.4620424211025238,0.13775962591171265,0.46383652091026306,0.22170017659664154
65o,-0.00047909142449498177,0.5159004330635071,0.4008711874485016,0.46100685000419617,0.13812194764614105,0.4690135717391968,0.24482043087482452
94o,-0.0005382422241382301,0.5309571027755737,0.40561845898628235,0.46259942650794983,0.13178211450576782,0.4674844741821289,0.22464263439178467
33,-0.000547259405720979,0.5523508191108704,0.39614853262901306,0.4699774980545044,0.13387401401996613,0.4705204963684082,0.231986865401268
