Hand Type,Q Check/Call,Q Bet/Raise,Fold Prob,Check/Call Prob,Bet/Raise Prob,Expected Frequency,Highest Density Frequency
AA,0.09572192281484604,0.7946415543556213,0.24355196952819824,0.571081817150116,0.1853662133216858,0.42203330993652344,0.11126673966646194
AKo,0.09263703227043152,0.774451732635498,0.24803318083286285,0.5632144808769226,0.18875233829021454,0.4239483177661896,0.10941409319639206
AKs,0.09166969358921051,0.774940013885498,0.24777452647686005,0.5630626082420349,0.18916288018226624,0.4236893355846405,0.10761044174432755
QQ,0.09050357341766357,0.7184839844703674,0.24644745886325836,0.575014054775238,0.1785384565591812,0.42357340455055237,0.11611870676279068
KK,0.08897801488637924,0.7608010172843933,0.24913032352924347,0.5645663142204285,0.1863033026456833,0.425525039434433,0.11861086636781693
AQo,0.08348417282104492,0.7519493103027344,0.24537527561187744,0.5708058476448059,0.18381887674331665,0.42124438285827637,0.10314493626356125
AQs,0.08255389332771301,0.7526702284812927,0.2454703450202942,0.5704808831214905,0.18404880166053772,0.42121854424476624,0.10301345586776733
K9o,0.07878240197896957,0.7240328788757324,0.25016769766807556,0.5587353110313416,0.19109700620174408,0.42258867621421814,0.1033400222659111
K9s,0.07735252380371094,0.7246221899986267,0.2495812028646469,0.558692991733551,0.19172582030296326,0.4224853515625,0.10251212120056152
A9o,0.07674798369407654,0.7419267296791077,0.24930156767368317,0.5599512457847595,0.1907471865415573,0.42286384105682373,0.09912193566560745
KQo,0.07633598893880844,0.7332032322883606,0.24541842937469482,0.570472776889801,0.18410877883434296,0.421873539686203,0.1100638210773468
A9s,0.07621295750141144,0.7422295212745667,0.24926713109016418,0.5596082806587219,0.1911245882511139,0.42276549339294434,0.09882476180791855
Q9o,0.07523063570261002,0.7203603386878967,0.252814918756485,0.5628110766410828,0.18437401950359344,0.4240613281726837,0.10963831096887589
KQs,0.07494434714317322,0.7333652377128601,0.24504625797271729,0.5704885721206665,0.18446512520313263,0.4217543601989746,0.10964422672986984
Q9s,0.07479563355445862,0.7207458019256592,0.25266966223716736,0.5625936388969421,0.1847367137670517,0.42393454909324646,0.108957938849926
J9o,0.07152760028839111,0.709483802318573,0.25377336144447327,0.5602235198020935,0.18600313365459442,0.4246506690979004,0.10842183232307434
92s,0.07147365808486938,0.7153151035308838,0.24715499579906464,0.5644064545631409,0.1884385049343109,0.41967692971229553,0.09972085803747177
92o,0.0708797425031662,0.7146037220954895,0.24653559923171997,0.5651835799217224,0.18828080594539642,0.41963520646095276,0.099921315908432
J9s,0.07056674361228943,0.7097200155258179,0.25347182154655457,0.5601406097412109,0.18638759851455688,0.42463183403015137,0.10813786834478378
99,0.06818149238824844,0.7256655693054199,0.2500980496406555,0.5620068907737732,0.18789507448673248,0.4236191511154175,0.10545878857374191
T9o,0.06751891225576401,0.706412136554718,0.25612783432006836,0.5604520440101624,0.18342016637325287,0.42472290992736816,0.10433811694383621
AJo,0.06710987538099289,0.7508554458618164,0.24554164707660675,0.5725584030151367,0.18189994990825653,0.42190924286842346,0.0978693887591362
T9s,0.06676548719406128,0.7073335647583008,0.25610998272895813,0.5602678060531616,0.18362224102020264,0.42472586035728455,0.10437935590744019
AJs,0.06598462164402008,0.7511715292930603,0.2453363835811615,0.5726026296615601,0.18206097185611725,0.4217444956302643,0.09710359573364258
KTo,0.06539680808782578,0.7279366850852966,0.2533456087112427,0.5591961741447449,0.18745820224285126,0.4213201105594635,0.10527987033128738
JJ,0.06495476514101028,0.7214785218238831,0.247505784034729,0.5747342109680176,0.1777600646018982,0.42475375533103943,0.11204537749290466
KTs,0.06459949165582657,0.7290779948234558,0.25337350368499756,0.5590334534645081,0.18759307265281677,0.42132580280303955,0.10526790469884872
QJo,0.06415160745382309,0.7225546836853027,0.24794858694076538,0.5760840773582458,0.17596741020679474,0.42324623465538025,0.105312280356884
97s,0.06320125609636307,0.7199618816375732,0.252449631690979,0.5584957599639893,0.18905462324619293,0.42106691002845764,0.09871477633714676
QJs,0.06304702907800674,0.7230900526046753,0.24764111638069153,0.5760647654533386,0.17629411816596985,0.4231376647949219,0.10437219589948654
97o,0.06281837075948715,0.7187767624855042,0.25248098373413086,0.5590003728866577,0.18851864337921143,0.4209798276424408,0.09881510585546494
KJo,0.06270292401313782,0.7363886833190918,0.2465258091688156,0.5698335766792297,0.18364059925079346,0.4232614040374756,0.10599546879529953
72s,0.06154593080282211,0.679210364818573,0.24914272129535675,0.5647895336151123,0.18606771528720856,0.41820070147514343,0.0960683599114418
KJs,0.06117536127567291,0.7365735173225403,0.24636980891227722,0.5698879361152649,0.1837422102689743,0.4230649769306183,0.10499989241361618
K2o,0.06097106263041496,0.7457261085510254,0.24399662017822266,0.5676534175872803,0.18834996223449707,0.4187439978122711,0.09834682941436768
K2s,0.06058160588145256,0.7463152408599854,0.24381494522094727,0.567737340927124,0.18844766914844513,0.4184550344944,0.09735431522130966
72o,0.06039683148264885,0.6783882975578308,0.24971453845500946,0.564257800579071,0.1860276460647583,0.41856637597084045,0.09727659076452255
ATo,0.06013974919915199,0.7405889630317688,0.25286006927490234,0.5628127455711365,0.18432720005512238,0.4206494092941284,0.09870745986700058
ATs,0.059434887021780014,0.7414896488189697,0.25258561968803406,0.5627423524856567,0.1846720278263092,0.4205555021762848,0.09801872819662094
