Hand Type,Q Check/Call,Q Bet/Raise,Fold Prob,Check/Call Prob,Bet/Raise Prob,Expected Frequency,Highest Density Frequency
AKs,-0.7859659790992737,0.30011874437332153,0.5627834796905518,0.2535189092159271,0.18369758129119873,0.4381989538669586,0.16621778905391693
AKo,-0.7863364815711975,0.2992217242717743,0.5624879002571106,0.2534918785095215,0.1840202659368515,0.43827536702156067,0.1673244684934616
AJs,-0.8056569695472717,0.3026866912841797,0.5711574554443359,0.24983298778533936,0.17900952696800232,0.43965426087379456,0.1812458634376526
AJo,-0.806412398815155,0.3017524778842926,0.5708656311035156,0.2497779279947281,0.1793564110994339,0.43964481353759766,0.18138878047466278
A9s,-0.8113716244697571,0.2978207468986511,0.5746489763259888,0.24516203999519348,0.18018898367881775,0.4412255585193634,0.18704013526439667
A9o,-0.812065601348877,0.29692426323890686,0.5747374892234802,0.24524621665477753,0.18001632392406464,0.44123342633247375,0.1874532550573349
A8s,-0.8179880976676941,0.32074999809265137,0.5711953043937683,0.24998034536838531,0.1788243055343628,0.4383261501789093,0.17533008754253387
A8o,-0.8187036514282227,0.3195483982563019,0.5714244246482849,0.24944938719272614,0.17912618815898895,0.43836620450019836,0.1763797253370285
AA,-0.8189302086830139,0.32500511407852173,0.5702616572380066,0.249399796128273,0.1803385466337204,0.43723854422569275,0.15193475782871246
A6s,-0.8217342495918274,0.29308557510375977,0.5785077214241028,0.2468651384115219,0.1746271848678589,0.43829527497291565,0.17284643650054932
A6o,-0.8223831653594971,0.2917560636997223,0.5784069895744324,0.24682079255580902,0.17477232217788696,0.43833979964256287,0.17354120314121246
AQs,-0.8281365036964417,0.3071691393852234,0.5728752613067627,0.2478107511997223,0.17931397259235382,0.438347190618515,0.16974575817584991
AQo,-0.8285453915596008,0.30644291639328003,0.5733189582824707,0.2475629448890686,0.1791181117296219,0.43836069107055664,0.17024624347686768
KJs,-0.8304364681243896,0.31332021951675415,0.5657587051391602,0.252808153629303,0.18143317103385925,0.4389648735523224,0.1717551350593567
KJo,-0.831455409526825,0.31331148743629456,0.5656726956367493,0.25289902091026306,0.18142826855182648,0.4389173686504364,0.17250221967697144
KK,-0.8338037133216858,0.32858261466026306,0.5588039755821228,0.255732923746109,0.18546311557292938,0.43646731972694397,0.15308068692684174
A5s,-0.8347839117050171,0.31622210144996643,0.5789240002632141,0.24487215280532837,0.1762038618326187,0.43959712982177734,0.18766844272613525
A5o,-0.8356025815010071,0.31555816531181335,0.5792709589004517,0.244593545794487,0.17613549530506134,0.4397530257701874,0.18884599208831787
K9s,-0.8414154052734375,0.3130524158477783,0.5691882371902466,0.2476130723953247,0.1831986904144287,0.43989983201026917,0.17529292404651642
K9o,-0.8419981002807617,0.31229469180107117,0.5692679286003113,0.24765431880950928,0.18307773768901825,0.4397710859775543,0.17510516941547394
A4s,-0.8424876928329468,0.31146371364593506,0.5836790800094604,0.24192287027835846,0.17439806461334229,0.4409247934818268,0.18935079872608185
A4o,-0.8430057168006897,0.3106158971786499,0.5842257142066956,0.2414814680814743,0.17429278790950775,0.4410366714000702,0.1899598389863968
A7s,-0.8451908826828003,0.3215789794921875,0.5706276893615723,0.24681849777698517,0.18255381286144257,0.4404294490814209,0.19438140094280243
A7o,-0.8459327220916748,0.32052305340766907,0.5710609555244446,0.24651210010051727,0.18242694437503815,0.44035014510154724,0.19455373287200928
A2s,-0.8462481498718262,0.26911813020706177,0.5770345330238342,0.24515971541404724,0.17780578136444092,0.4421597421169281,0.20143403112888336
A2o,-0.8464817404747009,0.2682528793811798,0.577559769153595,0.2448797971010208,0.17756037414073944,0.4422317445278168,0.20171678066253662
KQs,-0.8508346080780029,0.31092560291290283,0.5669020414352417,0.2491125762462616,0.1839853823184967,0.4383958876132965,0.16332705318927765
KQo,-0.8513851165771484,0.31034502387046814,0.5669611096382141,0.24913017451763153,0.18390876054763794,0.43837010860443115,0.16338150203227997
A3s,-0.8544515371322632,0.3080659508705139,0.582122266292572,0.24348744750022888,0.1743902862071991,0.4414786100387573,0.18732436001300812
Q9s,-0.8549978137016296,0.27774500846862793,0.5741853713989258,0.24506273865699768,0.18075191974639893,0.44110655784606934,0.183912456035614
A3o,-0.8551705479621887,0.3073093891143799,0.5828756093978882,0.24283243715763092,0.1742919236421585,0.44162145256996155,0.1877511590719223
Q9o,-0.855364978313446,0.27637508511543274,0.5745759010314941,0.2448052167892456,0.18061888217926025,0.441165566444397,0.18466085195541382
J9s,-0.8577951788902283,0.29429054260253906,0.5757530927658081,0.2441336214542389,0.1801133155822754,0.4400063753128052,0.1794060468673706
J9o,-0.8580179214477539,0.2934137284755707,0.5758331418037415,0.2441447526216507,0.18002207577228546,0.44004449248313904,0.17973017692565918
QJs,-0.8592450022697449,0.29639318585395813,0.5681479573249817,0.2516704201698303,0.1801815629005432,0.44019976258277893,0.18208013474941254
QJo,-0.8598105311393738,0.29544028639793396,0.5683090686798096,0.2513425648212433,0.18034839630126953,0.44012951850891113,0.18186886608600616
K5s,-0.8613559007644653,0.32481473684310913,0.574795126914978,0.24570372700691223,0.17950114607810974,0.43965744972229004,0.18372873961925507
K5o,-0.8630043864250183,0.3243679702281952,0.5750131011009216,0.24561707675457,0.17936988174915314,0.4397411644458771,0.18443268537521362
JJ,-0.8650973439216614,0.30617570877075195,0.5722146034240723,0.25077947974205017,0.17700594663619995,0.43799659609794617,0.16659915447235107
K8s,-0.8657643795013428,0.3392559885978699,0.5674186944961548,0.25060755014419556,0.1819736659526825,0.4376627504825592,0.17015440762043
K8o,-0.8669856190681458,0.33909282088279724,0.5678070187568665,0.2501235902309418,0.1820693463087082,0.4376639425754547,0.17059780657291412
Q8s,-0.8695534467697144,0.3016413450241089,0.569537878036499,0.25001758337020874,0.18044453859329224,0.4392477571964264,0.17909568548202515
Q8o,-0.8701793551445007,0.3005232810974121,0.5695593953132629,0.2496720552444458,0.18076856434345245,0.4391775131225586,0.17903923988342285
K6s,-0.8703288435935974,0.30333635210990906,0.5738787651062012,0.24843436479568481,0.17768684029579163,0.43646740913391113,0.15857438743114471
K6o,-0.871272623538971,0.30226510763168335,0.5741819143295288,0.24825267493724823,0.17756541073322296,0.43656376004219055,0.15923546254634857
K7s,-0.8723668456077576,0.33467596769332886,0.5640392303466797,0.24938519299030304,0.18657556176185608,0.4401876926422119,0.18961049616336823
ATs,-0.8727827072143555,0.32729294896125793,0.5740783214569092,0.24858088791370392,0.1773408204317093,0.4377352297306061,0.1727018505334854
ATo,-0.8733370900154114,0.3256893455982208,0.5747017860412598,0.24791520833969116,0.17738302052021027,0.4378644526004791,0.17347820103168488
K7o,-0.8743314743041992,0.33399415016174316,0.564157247543335,0.24909447133541107,0.18674831092357635,0.44013509154319763,0.18953311443328857
98s,-0.8770577311515808,0.33225739002227783,0.574264407157898,0.24453410506248474,0.1812014877796173,0.43710288405418396,0.1710609793663025
98o,-0.8773897290229797,0.33145150542259216,0.5746425986289978,0.24398846924304962,0.18136899173259735,0.4371602535247803,0.17181742191314697
J8s,-0.8783137798309326,0.3170154094696045,0.5715482234954834,0.24894379079341888,0.17950795590877533,0.4384167492389679,0.17496077716350555
K4s,-0.8787660002708435,0.317020982503891,0.5795112252235413,0.2435687780380249,0.17691998183727264,0.440945029258728,0.18510828912258148
J8o,-0.879761278629303,0.3168538808822632,0.5718406438827515,0.24844272434711456,0.17971663177013397,0.4384336471557617,0.17498879134655
K4o,-0.8801441192626953,0.3164711594581604,0.5798450112342834,0.243289515376091,0.17686547338962555,0.4410771131515503,0.18593759834766388
QQ,-0.8823723793029785,0.3065352439880371,0.5705018639564514,0.24894839525222778,0.18054969608783722,0.43815669417381287,0.16970761120319366
K2s,-0.883806586265564,0.27967315912246704,0.5722090005874634,0.24654147028923035,0.1812494695186615,0.44178786873817444,0.19700704514980316
K2o,-0.8853476047515869,0.27895042300224304,0.572605550289154,0.2464761734008789,0.18091833591461182,0.4418153762817383,0.19702483713626862
T9s,-0.8857821822166443,0.305755615234375,0.5817291736602783,0.23630928993225098,0.18196150660514832,0.4388248920440674,0.1768561750650406
T9o,-0.8862773776054382,0.3043745458126068,0.5823842883110046,0.23582936823368073,0.18178637325763702,0.4388597011566162,0.1769597977399826
Q6s,-0.8865944743156433,0.2764514684677124,0.5781737565994263,0.24718686938285828,0.17463937401771545,0.43855300545692444,0.17114174365997314
Q6o,-0.8868741989135742,0.274872750043869,0.5782317519187927,0.24710257351398468,0.1746656894683838,0.43873563408851624,0.17249907553195953
T8s,-0.8879964351654053,0.3165392279624939,0.5760601758956909,0.24240341782569885,0.181536465883255,0.43695393204689026,0.16967181861400604
T8o,-0.8893182873725891,0.3158457577228546,0.5760886073112488,0.24253393709659576,0.18137748539447784,0.43693825602531433,0.16996781527996063
K3s,-0.8924959897994995,0.3127325177192688,0.5801994800567627,0.2437020242214203,0.17609858512878418,0.4413493871688843,0.18158619105815887
99,-0.8926225304603577,0.34569552540779114,0.5785591006278992,0.24240268766880035,0.17903824150562286,0.4374912679195404,0.1634484976530075
J5s,-0.8931019902229309,0.31377434730529785,0.5773626565933228,0.24594634771347046,0.17669105529785156,0.43941470980644226,0.18241523206233978
95s,-0.8933568596839905,0.3250913918018341,0.5830715298652649,0.24000097811222076,0.17692747712135315,0.43936753273010254,0.1842266321182251
K3o,-0.8938344120979309,0.3119750916957855,0.5809549689292908,0.2430981546640396,0.17594681680202484,0.4415323734283447,0.18286655843257904
J5o,-0.8944224715232849,0.3136226534843445,0.57809978723526,0.24543268978595734,0.17646753787994385,0.43950167298316956,0.18294240534305573
