Hand Type,Q Check/Call,Q Bet/Raise,Fold Prob,Check/Call Prob,Bet/Raise Prob,Expected Frequency,Highest Density Frequency
AA,4.486619472503662,2.863104820251465,0.003261636244133115,0.6867336630821228,0.31000471115112305,0.4725010395050049,0.26079633831977844
KK,4.333098888397217,2.6201276779174805,0.004413347225636244,0.7066455483436584,0.28894105553627014,0.47869837284088135,0.2753189504146576
AKo,3.8333003520965576,2.3471758365631104,0.006267531309276819,0.7247951626777649,0.26893723011016846,0.4699048697948456,0.20848138630390167
AKs,3.824167251586914,2.341012954711914,0.006544238422065973,0.7257972359657288,0.267658531665802,0.47015801072120667,0.20990176498889923
AQs,3.143186092376709,1.9121133089065552,0.012012269347906113,0.7289938926696777,0.25899386405944824,0.46804189682006836,0.17136113345623016
AQo,3.1419591903686523,1.911577582359314,0.011509918607771397,0.7288020253181458,0.2596880793571472,0.46791648864746094,0.17218534648418427
KQs,3.1212306022644043,1.7969744205474854,0.01352675911039114,0.7277597784996033,0.2587135434150696,0.47356119751930237,0.1892368048429489
KQo,3.1039116382598877,1.7869782447814941,0.013229909352958202,0.7271987795829773,0.2595713436603546,0.4732400178909302,0.18806199729442596
QQ,3.046243667602539,1.8466887474060059,0.01446413155645132,0.7400252819061279,0.24551063776016235,0.4679982662200928,0.14757923781871796
JJ,2.8733208179473877,1.6169657707214355,0.02575836516916752,0.7903037071228027,0.18393798172473907,0.4663279056549072,0.04983432590961456
AJs,2.7935609817504883,1.6749932765960693,0.019119437783956528,0.765047013759613,0.2158336043357849,0.46528124809265137,0.10306107997894287
AJo,2.7919719219207764,1.6730152368545532,0.018220866098999977,0.7649932503700256,0.21678586304187775,0.4649641513824463,0.10285618156194687
KJs,2.783663749694824,1.5555667877197266,0.022817295044660568,0.7645546197891235,0.21262802183628082,0.4727608263492584,0.12324881553649902
KJo,2.755807638168335,1.5350414514541626,0.022456085309386253,0.7645140290260315,0.2130298614501953,0.47251391410827637,0.12063777446746826
88,2.483325958251953,1.2703298330307007,0.04448216035962105,0.7835679650306702,0.17194992303848267,0.47221776843070984,0.0
A9s,2.3777971267700195,1.2443556785583496,0.046103786677122116,0.7714534401893616,0.1824427843093872,0.4667411148548126,0.040685612708330154
A9o,2.3736159801483154,1.2424653768539429,0.0452113039791584,0.7716580033302307,0.1831306368112564,0.46655797958374023,0.04178157076239586
K9s,2.3215415477752686,1.1030948162078857,0.05339533090591431,0.7665974497795105,0.1800072193145752,0.47384968400001526,0.04854844883084297
K9o,2.297659158706665,1.0887854099273682,0.05494390428066254,0.7644426822662354,0.1806134134531021,0.4739069938659668,0.049864817410707474
K8s,2.2829325199127197,1.1138076782226562,0.05021999776363373,0.7700859308242798,0.1796940118074417,0.4731958210468292,0.02557561732828617
K8o,2.268596887588501,1.1039386987686157,0.04965366795659065,0.7699160575866699,0.1804303377866745,0.47304821014404297,0.0274044256657362
QJs,2.262146234512329,1.3257986307144165,0.03306984528899193,0.7731525897979736,0.19377760589122772,0.4629949629306793,0.0
ATs,2.2552297115325928,1.2838102579116821,0.050932884216308594,0.7732659578323364,0.17580117285251617,0.45893701910972595,0.0
A8o,2.2543723583221436,1.2473729848861694,0.044994618743658066,0.7741627097129822,0.18084271252155304,0.4634943902492523,0.02090996503829956
A8s,2.2533373832702637,1.2475613355636597,0.04589378088712692,0.7738274335861206,0.18027880787849426,0.463641494512558,0.02092680335044861
QJo,2.25156569480896,1.3179136514663696,0.03187689557671547,0.773073673248291,0.19504939019680023,0.4628160297870636,0.0
ATo,2.2427635192871094,1.2728790044784546,0.0568145252764225,0.7659673690795898,0.17721818387508392,0.458540678024292,0.0
KTs,2.1359543800354004,1.063814640045166,0.07268756628036499,0.7577505707740784,0.16956181824207306,0.4656413495540619,0.0
KTo,2.1081197261810303,1.0448411703109741,0.07254658639431,0.7569704055786133,0.1704830527305603,0.4651751220226288,0.0
99,2.0166213512420654,0.8909586071968079,0.08107069134712219,0.7624608874320984,0.1564684510231018,0.4700702130794525,0.018401434645056725
A2o,1.9009956121444702,0.9153032302856445,0.07970750331878662,0.7710936665534973,0.14919887483119965,0.4589535892009735,0.0
A2s,1.8999531269073486,0.9099317789077759,0.08106786012649536,0.7708479166030884,0.14808423817157745,0.4591166079044342,0.0
A3s,1.8801096677780151,0.8757430911064148,0.09284934401512146,0.764361560344696,0.14278914034366608,0.45731911063194275,0.0
A3o,1.8605941534042358,0.8609988689422607,0.09342169761657715,0.7630614638328552,0.14351683855056763,0.4571586549282074,0.0
Q9s,1.786684513092041,0.8765773773193359,0.07502196729183197,0.7597724199295044,0.1652056723833084,0.46517717838287354,0.0
Q9o,1.7706531286239624,0.8670742511749268,0.07428146153688431,0.7596786022186279,0.16603992879390717,0.4651055634021759,0.0
QTs,1.764076828956604,0.9602928161621094,0.08246836066246033,0.7585432529449463,0.15898841619491577,0.45861074328422546,0.0
QTo,1.7533760070800781,0.9516035914421082,0.0910092294216156,0.7493469715118408,0.15964375436306,0.45828163623809814,0.0
A6s,1.7252707481384277,0.6583718061447144,0.10525453835725784,0.7543651461601257,0.14038033783435822,0.4576084315776825,0.0
A6o,1.7175530195236206,0.6564579010009766,0.10402468591928482,0.755091667175293,0.1408836394548416,0.4574817717075348,0.0
Q8s,1.6990107297897339,0.8734076619148254,0.08335545659065247,0.7617980241775513,0.15484654903411865,0.4615444242954254,0.0
Q8o,1.6872164011001587,0.8643763661384583,0.0825713574886322,0.7618802189826965,0.15554837882518768,0.4611872732639313,0.0
TT,1.6722440719604492,0.776768684387207,0.14698024094104767,0.7297415733337402,0.12327814102172852,0.4591836631298065,0.0
K2s,1.6145795583724976,0.5530171990394592,0.12883996963500977,0.7418162226676941,0.12934383749961853,0.4655552804470062,0.0
A5s,1.6104998588562012,0.7044170498847961,0.10310788452625275,0.7603539228439331,0.13653817772865295,0.4603724479675293,0.0
JTs,1.6094917058944702,0.7127563953399658,0.1322374790906906,0.7405393123626709,0.1272231936454773,0.4588712751865387,0.0
A5o,1.6025265455245972,0.7008397579193115,0.10255876183509827,0.7603524327278137,0.13708871603012085,0.4600963890552521,0.0
K2o,1.5946747064590454,0.5473427176475525,0.1292061060667038,0.7407817840576172,0.1300121694803238,0.4653005301952362,0.0
JTo,1.5742874145507812,0.6871123313903809,0.13504360616207123,0.7376460433006287,0.12731041014194489,0.45853403210639954,0.0
J9s,1.5673060417175293,0.5856419205665588,0.1180424839258194,0.7495920062065125,0.13236552476882935,0.4663154184818268,0.0
K6s,1.5458089113235474,0.4190175533294678,0.1370101124048233,0.7328979969024658,0.1300918459892273,0.464089959859848,0.0
J9o,1.5355890989303589,0.5672029852867126,0.12065707892179489,0.7471709251403809,0.13217197358608246,0.46634483337402344,0.0
A4s,1.5288923978805542,0.6667548418045044,0.11607615649700165,0.7529825568199158,0.1309412717819214,0.4596981108188629,0.0
A4o,1.5248408317565918,0.6668753623962402,0.11526384204626083,0.7531450390815735,0.13159112632274628,0.4594278335571289,0.0
K6o,1.5168981552124023,0.40381094813346863,0.1385219544172287,0.7315444946289062,0.12993352115154266,0.46376049518585205,0.0
K3s,1.513180136680603,0.4866085648536682,0.1504981368780136,0.724675178527832,0.12482663989067078,0.4633864462375641,0.0
T9s,1.4960253238677979,0.5895214080810547,0.14047667384147644,0.7274634838104248,0.13205984234809875,0.46588850021362305,0.0
J8s,1.478420376777649,0.5117725729942322,0.1419522762298584,0.7379816174507141,0.12006606161594391,0.46297240257263184,0.0
