"(8, 14, 0)","(0.5889333333333333, 0.3796)"
"(9, 9, 0)","(0.7223666666666667, 0.2692)"
"(9, 10, 0)","(0.5088, 0.4564166666666667)"
"(9, 11, 0)","(0.5282333333333333, 0.43885)"
"(9, 12, 0)","(0.5247, 0.4476666666666666)"
"(9, 13, 0)","(0.5711166666666666, 0.3984666666666667)"
"(9, 14, 0)","(0.60315, 0.3693166666666667)"
"(10, 10, 0)","(0.7572666666666666, 0.2360333333333333)"
"(10, 11, 0)","(0.5478, 0.4239666666666666)"
"(10, 12, 0)","(0.5447000000000001, 0.4316333333333333)"
"(10, 13, 0)","(0.5882666666666666, 0.3866833333333333)"
"(10, 14, 0)","(0.6216, 0.3552666666666667)"
"(11, 11, 0)","(0.782, 0.2122333333333333)"
"(11, 12, 0)","(0.55445, 0.4241833333333333)"
"(11, 13, 0)","(0.5996333333333334, 0.3781333333333334)"
"(11, 14, 0)","(0.6323166666666666, 0.3470666666666666)"
"(12, 12, 0)","(0.7874333333333333, 0.2075666666666666)"
"(12, 13, 0)","(0.58955, 0.3915666666666667)"
"(12, 14, 0)","(0.6185666666666667, 0.3647499999999999)"
"(13, 13, 0)","(0.8177, 0.1763)"
"(13, 14, 0)","(0.6509833333333334, 0.3307833333333333)"
"(14, 14, 0)","(0.8492333333333333, 0.1445999999999999)"
"(2, 3, 1)","(0.3339999999999999, 0.60835)"
"(2, 4, 1)","(0.31825, 0.62805)"
"(2, 5, 1)","(0.35145, 0.588)"
"(2, 6, 1)","(0.3487, 0.5914)"
"(2, 7, 1)","(0.36675, 0.5776)"
"(2, 8, 1)","(0.38215, 0.56135)"
"(2, 9, 1)","(0.403, 0.5458)"
"(2, 10, 1)","(0.43105, 0.5197)"
"(2, 11, 1)","(0.4616, 0.4942)"
"(2, 12, 1)","(0.4674, 0.49755)"
"(2, 13, 1)","(0.5188, 0.4438)"
"(2, 14, 1)","(0.55, 0.41235)"
"(3, 4, 1)","(0.34025, 0.60495)"
"(3, 5, 1)","(0.36685, 0.57595)"
"(3, 6, 1)","(0.36865, 0.57335)"
"(3, 7, 1)","(0.38125, 0.5661)"
"(3, 8, 1)","(0.3964, 0.548)"
"(3, 9, 1)","(0.41565, 0.5351)"
"(3, 10, 1)","(0.43705, 0.5171)"
"(3, 11, 1)","(0.4636, 0.49305)"
"(3, 12, 1)","(0.47645, 0.4888)"
"(3, 13, 1)","(0.52975, 0.42985)"
"(3, 14, 1)","(0.56895, 0.3939)"
"(4, 5, 1)","(0.36455, 0.58245)"
"(4, 6, 1)","(0.36505, 0.5795)"
"(4, 7, 1)","(0.38105, 0.56475)"
"(4, 8, 1)","(0.3818, 0.5688)"
"(4, 9, 1)","(0.39005, 0.5609500000000001)"
"(4, 10, 1)","(0.42515, 0.52645)"
"(4, 11, 1)","(0.4486, 0.50505)"
"(4, 12, 1)","(0.45815, 0.50605)"
"(4, 13, 1)","(0.51035, 0.448)"
"(4, 14, 1)","(0.55555, 0.4033)"
"(5, 6, 1)","(0.3996, 0.54245)"
"(5, 7, 1)","(0.41015, 0.53285)"
"(5, 8, 1)","(0.42935, 0.51805)"
"(5, 9, 1)","(0.4457, 0.50645)"
"(5, 10, 1)","(0.4577, 0.50065)"
"(5, 11, 1)","(0.48585, 0.4704)"
"(5, 12, 1)","(0.4896, 0.47495)"
"(5, 13, 1)","(0.5397, 0.4203)"
"(5, 14, 1)","(0.57875, 0.38175)"
"(6, 7, 1)","(0.4354, 0.5104)"
"(6, 8, 1)","(0.4466, 0.50295)"
"(6, 9, 1)","(0.46015, 0.49505)"
"(6, 10, 1)","(0.4818, 0.47495)"
"(6, 11, 1)","(0.49385, 0.4653)"
"(6, 12, 1)","(0.5066, 0.46075)"
"(6, 13, 1)","(0.5491, 0.41315)"
"(6, 14, 1)","(0.5854, 0.3774)"
"(7, 8, 1)","(0.46975, 0.48555)"
"(7, 9, 1)","(0.48605, 0.47025)"
"(7, 10, 1)","(0.50095, 0.45785)"
"(7, 11, 1)","(0.51495, 0.44525)"
"(7, 12, 1)","(0.51385, 0.455)"
"(7, 13, 1)","(0.56185, 0.40225)"
"(7, 14, 1)","(0.60345, 0.3632)"
"(8, 9, 1)","(0.498, 0.46065)"
"(8, 10, 1)","(0.519, 0.44355)"
"(8, 11, 1)","(0.5351, 0.42895)"
"(8, 12, 1)","(0.5231, 0.4471)"
"(8, 13, 1)","(0.5831, 0.38645)"
"(8, 14, 1)","(0.6084, 0.3626)"
"(9, 10, 1)","(0.5344, 0.4301)"
"(9, 11, 1)","(0.5501, 0.4174)"
"(9, 12, 1)","(0.5484, 0.4239)"
"(9, 13, 1)","(0.5898, 0.38125)"
"(9, 14, 1)","(0.61905, 0.3536)"
"(10, 11, 1)","(0.5719, 0.4)"
"(10, 12, 1)","(0.5701, 0.4079)"
"(10, 13, 1)","(0.6125499999999999, 0.36305)"
"(10, 14, 1)","(0.63965, 0.3389)"
"(11, 12, 1)","(0.5751999999999999, 0.4019)"
"(11, 13, 1)","(0.61605, 0.36165)"
"(11, 14, 1)","(0.6523, 0.32765)"
"(12, 13, 1)","(0.6127, 0.36795)"
"(12, 14, 1)","(0.6425, 0.34235)"
"(13, 14, 1)","(0.66655, 0.3152)"
