val1,val2,nwin,nloose,nsplit,suited,nwinVil,nlooseVil,nsplitVil,stdWinVil,stdLooseVil,stdSplitVil
2,2,0.4968333333333333,0.4840333333333333,0.0191333333333333,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,3,0.2956833333333333,0.6426166666666667,0.0617,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,4,0.2766333333333333,0.6650166666666667,0.05835,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,5,0.3118,0.6249,0.0633,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,6,0.3163666666666667,0.6219166666666667,0.0617166666666666,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,7,0.3287166666666666,0.6130666666666666,0.0582166666666666,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,8,0.3502499999999999,0.5942,0.0555499999999999,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,9,0.37305,0.57345,0.0535,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,10,0.4006833333333333,0.5497166666666667,0.0496,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,11,0.4269833333333333,0.5272333333333333,0.0457833333333333,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,12,0.4357,0.5255833333333334,0.0387166666666666,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,13,0.4899166666666666,0.4658,0.0442833333333333,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
2,14,0.5308666666666667,0.4273499999999999,0.0417833333333333,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,3,0.5295333333333333,0.4550333333333333,0.0154333333333333,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,4,0.30175,0.639,0.05925,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,5,0.3351,0.6013333333333334,0.0635666666666666,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,6,0.3357166666666666,0.6021666666666666,0.0621166666666666,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,7,0.3425,0.5974833333333334,0.0600166666666666,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,8,0.3576,0.58665,0.05575,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,9,0.3812166666666667,0.5654,0.0533833333333333,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,10,0.4125666666666667,0.5368499999999999,0.0505833333333333,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,11,0.4369833333333333,0.5156999999999999,0.0473166666666666,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,12,0.4450166666666666,0.5184166666666666,0.0365666666666666,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
3,13,0.49705,0.4594166666666666,0.0435333333333333,0,0.47893092006033183,0.48037315233785827,0.040695927601809956,0.10744809812369009,0.09468259015605267,0.01437192120950129
